glazing,installed,glazing_gap,window_u_value,roof_window_u_value,g_value
single,any,not applicable,4.8,5.1,0.85
double glazed unit,England & Wales: before 2002,"6mm in PVC frame, or any in non-PVC frame",3.1,3.3,0.76
double glazed unit,England & Wales: before 2002,12 mm in PVC frame,2.8,3,0.76
double glazed unit,England & Wales: before 2002,16 mm or more in PVC frame,2.6,2.8,0.76
double glazed unit,Scotland: before 2003,"6mm in PVC frame, or any in non-PVC frame",3.1,3.3,0.76
double glazed unit,Scotland: before 2003,12 mm in PVC frame,2.8,3,0.76
double glazed unit,Scotland: before 2003,16 mm or more in PVC frame,2.6,2.8,0.76
double glazed unit,Northern Ireland: before 2006,"6mm in PVC frame, or any in non-PVC frame",3.1,3.3,0.76
double glazed unit,Northern Ireland: before 2006,12 mm in PVC frame,2.8,3,0.76
double glazed unit,Northern Ireland: before 2006,16 mm or more in PVC frame,2.6,2.8,0.76
double glazed unit,England & Wales: 2002 or later,any,2,2.2,0.72
double glazed unit,England & Wales: 2002 or later,any,2,2.2,0.72
double glazed unit,England & Wales: 2002 or later,any,2,2.2,0.72
double glazed unit,Scotland: 2003 or later,any,2,2.2,0.72
double glazed unit,Scotland: 2003 or later,any,2,2.2,0.72
double glazed unit,Scotland: 2003 or later,any,2,2.2,0.72
double glazed unit,Northern Ireland: 2006 or later,any,2,2.2,0.72
double glazed unit,Northern Ireland: 2006 or later,any,2,2.2,0.72
double glazed unit,Northern Ireland: 2006 or later,any,2,2.2,0.72
secondary glazing,any,any,2.4,2.6,0.76
triple glazing,any,any,1.8,2,0.68
"double or triple, known data",any,any,as provided in RdSAP data set,as provided in RdSAP data set,as provided in RdSAP data set
